,Flight name,Departure_time,Arrival_time,Price,Source,Destination,Duration,No of stop,Date
0,Air Asia,22:40,01:25,4537,Bengaluru,Delhi,2h 45m,Non,2023-02-26
1,Air Asia,06:05,08:55,4537,Bengaluru,Delhi,2h 50m,Non,2023-02-26
2,SpiceJet,19:30,22:15,5235,Bengaluru,Delhi,2h 45m,Non,2023-02-26
3,IndiGo,18:00,20:50,5236,Bengaluru,Delhi,2h 50m,Non,2023-02-26
4,IndiGo,07:00,09:50,5236,Bengaluru,Delhi,2h 50m,Non,2023-02-26
5,IndiGo,04:25,07:15,5236,Bengaluru,Delhi,2h 50m,Non,2023-02-26
6,IndiGo,05:35,08:25,5236,Bengaluru,Delhi,2h 50m,Non,2023-02-26
7,IndiGo,12:00,14:50,5236,Bengaluru,Delhi,2h 50m,Non,2023-02-26
8,IndiGo,23:20,02:10,5236,Bengaluru,Delhi,2h 50m,Non,2023-02-26
9,IndiGo,09:50,12:40,5236,Bengaluru,Delhi,2h 50m,Non,2023-02-26
10,IndiGo,19:15,22:10,5236,Bengaluru,Delhi,2h 55m,Non,2023-02-26
11,IndiGo,16:50,19:45,5236,Bengaluru,Delhi,2h 55m,Non,2023-02-26
12,IndiGo,08:00,10:55,5236,Bengaluru,Delhi,2h 55m,Non,2023-02-26
13,IndiGo,20:40,23:35,5236,Bengaluru,Delhi,2h 55m,Non,2023-02-26
14,IndiGo,15:25,18:25,5236,Bengaluru,Delhi,3h,Non,2023-02-26
15,IndiGo,13:45,16:45,5236,Bengaluru,Delhi,3h,Non,2023-02-26
16,IndiGo,22:00,01:00,5236,Bengaluru,Delhi,3h,Non,2023-02-26
17,Vistara,07:00,09:40,5236,Bengaluru,Delhi,2h 40m,Non,2023-02-26
18,Vistara,17:50,20:30,5236,Bengaluru,Delhi,2h 40m,Non,2023-02-26
19,Air Asia,11:30,14:20,5236,Bengaluru,Delhi,2h 50m,Non,2023-02-26
20,Air Asia,19:50,22:50,5236,Bengaluru,Delhi,3h,Non,2023-02-26
21,Go First,06:20,09:00,5237,Bengaluru,Delhi,2h 40m,Non,2023-02-26
22,Go First,21:25,00:10,5237,Bengaluru,Delhi,2h 45m,Non,2023-02-26
23,Air India,13:15,15:55,5250,Bengaluru,Delhi,2h 40m,Non,2023-02-26
24,Air India,10:00,12:50,5250,Bengaluru,Delhi,2h 50m,Non,2023-02-26
25,Air India,17:10,20:00,5250,Bengaluru,Delhi,2h 50m,Non,2023-02-26
26,Air India,11:45,14:45,5250,Bengaluru,Delhi,3h,Non,2023-02-26
27,Air India,05:45,08:45,5250,Bengaluru,Delhi,3h,Non,2023-02-26
28,Air India,15:00,18:00,5250,Bengaluru,Delhi,3h,Non,2023-02-26
29,Air India,19:20,22:20,5250,Bengaluru,Delhi,3h,Non,2023-02-26
30,Air India,21:00,00:10,5250,Bengaluru,Delhi,3h 10m,Non,2023-02-26
31,Vistara,21:10,23:45,5500,Bengaluru,Delhi,2h 35m,Non,2023-02-26
32,Vistara,08:00,10:35,5500,Bengaluru,Delhi,2h 35m,Non,2023-02-26
33,Vistara,18:45,21:25,5500,Bengaluru,Delhi,2h 40m,Non,2023-02-26
34,Vistara,19:40,22:20,5500,Bengaluru,Delhi,2h 40m,Non,2023-02-26
35,Vistara,11:30,14:10,5500,Bengaluru,Delhi,2h 40m,Non,2023-02-26
36,Air Asia,03:30,08:55,5657,Bengaluru,Delhi,5h 25m,1,2023-02-26
37,Air Asia,15:00,20:45,5657,Bengaluru,Delhi,5h 45m,1,2023-02-26
38,Air Asia,18:45,00:35,5657,Bengaluru,Delhi,5h 50m,1,2023-02-26
39,Air Asia,12:45,20:05,5657,Bengaluru,Delhi,7h 20m,1,2023-02-26
40,Air Asia,16:35,01:40,5657,Bengaluru,Delhi,9h 5m,1,2023-02-26
41,IndiGo,13:00,17:55,5659,Bengaluru,Delhi,4h 55m,1,2023-02-26
42,IndiGo,18:50,00:05,5659,Bengaluru,Delhi,5h 15m,1,2023-02-26
43,IndiGo,07:30,13:00,5659,Bengaluru,Delhi,5h 30m,1,2023-02-26
44,IndiGo,13:25,19:00,5659,Bengaluru,Delhi,5h 35m,1,2023-02-26
45,IndiGo,14:25,20:20,5659,Bengaluru,Delhi,5h 55m,1,2023-02-26
46,IndiGo,10:30,16:30,5659,Bengaluru,Delhi,6h,1,2023-02-26
47,IndiGo,16:10,22:40,5659,Bengaluru,Delhi,6h 30m,1,2023-02-26
48,IndiGo,02:45,09:45,5659,Bengaluru,Delhi,7h,1,2023-02-26
49,IndiGo,06:25,13:45,5659,Bengaluru,Delhi,7h 20m,1,2023-02-26
